traits	lat	long
PACUT_12821	43.6339	-108.0067
PACUT_14050	42.7004	-106.3326
PACUT_14222	38.6653	-109.4194
PACUT_16125	42.0905	-108.7717
PACUT_26706	42.3843	-110.2758
PACUT_3721	38.2914	-107.7589
PACUT_3769	40.1808	-108.8417
PACUT_48	45.0086	-108.4236
PACUT_5199	37.3928	-108.4724
PACUT_7997	41.0916	-110.0956
PACUT_8621	41.1589	-105.9333
PBRAS_1811	45.025	-105.8917
PBRAS_3122	42.6786	-105.3939
PBRAS_3130	42.8261	-105.0561
PBRAS_4225	42.1689	-104.8226
PBRAS_53	44.6872	-104.5994
PBRAS_54	44.4797	-104.2414
PCOND_16765	41.687	-110.9143
PCOND_3787	41.3308	-110.4194
PCOND_40	41.8997	-110.4142
PCOND_41	41.8261	-110.6447
PDIDY_DI_12677	44.5053	-109.9456
PDIDY_DI_3794	46.7111	-113.2453
PDIDY_DI_47	45.7029	-110.9314
PDIDY_DI_551	43.9215	-109.0978
PDIDY_LA_14773	44.9032	-107.3671
PDIDY_LA_3136	44.3256	-106.8136
PDIDY_LA_32	44.8612	-107.853
PDIDY_LA_52	44.3306	-106.8458
PDIDY_LY_3855	44.9906	-113.5766
PDIDY_LY_45	45.0819	-113.9622
PDORN_17506	42.0161	-110.8579
PDORN_42	41.8369	-110.8833
PDORN_4376	41.2648	-110.7084
PEBUR_10410	42.35	-106.4692
PEBUR_14841	42.63	-108.1795
PEBUR_37	42.3067	-107.6322
PEBUR_38	42.4417	-107.1967
PINTE_17493	41.9268	-110.8773
PINTE_19288	43.6052	-110.3772
PINTE_43	42.7258	-110.9094
PINTE_44	43.1972	-110.8897
PSAXI_DE_4481	45.4724	-110.0253
PSAXI_DE_56	48.735	-113.3939
PSAXI_DE_79	48.1384	-113.0299
PSAXI_DE_89	47.6906	-113.256
PSAXI_DE_9833	46.7711	-109.3573
PSAXI_SA_39	42.6917	-108.1794
PSAXI_SA_50	43.6986	-108.8783
PSAXI_SA_74315	45.0145	-108.2925
PSAXI_SA_9636	45.1967	-111.9552
PVITU_10105	41.0172	-106.8503
PVITU_16713	41.2144	-107.1844
PVITU_19075	41.3397	-106.5584
PVITU_34	41.1735	-106.8196
PVITU_3754	39.7333	-105.4167
PVITU_489	38.8667	-105.1167
PVITU_500	38.95	-105.9917
PVITU_9196	38.8113	-106.3131
PVITU_9837	39.3067	-105.195
