traits	species
PACUT_12821	Physaria_acutifolia
PACUT_14050	Physaria_acutifolia
PACUT_14222	Physaria_acutifolia
PACUT_16125	Physaria_acutifolia
PACUT_26706	Physaria_acutifolia
PACUT_3721	Physaria_acutifolia
PACUT_3769	Physaria_acutifolia
PACUT_48	Physaria_acutifolia
PACUT_5199	Physaria_acutifolia
PACUT_7997	Physaria_acutifolia
PACUT_8621	Physaria_acutifolia
PBRAS_1811	Physaria_acutifolia
PBRAS_3122	Physaria_brassicoides
PBRAS_3130	Physaria_brassicoides
PBRAS_4225	Physaria_brassicoides
PBRAS_53	Physaria_brassicoides
PBRAS_54	Physaria_brassicoides
PCOND_16765	Physaria_condensata
PCOND_3787	Physaria_condensata
PCOND_40	Physaria_condensata
PCOND_41	Physaria_condensata
PDIDY_DI_12677	Physaria_didymocarpa_ssp_didymocarpa
PDIDY_DI_3794	Physaria_didymocarpa_ssp_didymocarpa
PDIDY_DI_47	Physaria_didymocarpa_ssp_didymocarpa
PDIDY_DI_551	Physaria_didymocarpa_ssp_didymocarpa
PDIDY_LA_14773	Physaria_didymocarpa_ssp_lanata
PDIDY_LA_3136	Physaria_didymocarpa_ssp_lanata
PDIDY_LA_32	Physaria_didymocarpa_ssp_lanata
PDIDY_LA_52	Physaria_didymocarpa_ssp_lanata
PDIDY_LY_3855	Physaria_didymocarpa_ssp_didymocarpa
PDIDY_LY_45	Physaria_didymocarpa_ssp_didymocarpa
PDORN_17506	Physaria_dornii
PDORN_42	Physaria_dornii
PDORN_4376	Physaria_dornii
PEBUR_10410	Physaria_eburniflora
PEBUR_14841	Physaria_eburniflora
PEBUR_37	Physaria_eburniflora
PEBUR_38	Physaria_eburniflora
PINTE_17493	Physaria_integrifolia
PINTE_19288	Physaria_integrifolia
PINTE_43	Physaria_integrifolia
PINTE_44	Physaria_integrifolia
PSAXI_DE_4481	Physaria_didymocarpa_ssp_didymocarpa
PSAXI_DE_56	Physaria_didymocarpa_ssp_didymocarpa
PSAXI_DE_79	Physaria_didymocarpa_ssp_didymocarpa
PSAXI_DE_89	Physaria_didymocarpa_ssp_didymocarpa
PSAXI_DE_9833	Physaria_didymocarpa_ssp_didymocarpa
PSAXI_SA_39	Physaria_didymocarpa_ssp_didymocarpa
PSAXI_SA_50	Physaria_didymocarpa_ssp_didymocarpa
PSAXI_SA_74315	Physaria_acutifolia
PSAXI_SA_9636	Physaria_didymocarpa_ssp_didymocarpa
PVITU_10105	Physaria_medicinae
PVITU_16713	Physaria_medicinae
PVITU_19075	Physaria_medicinae
PVITU_34	Physaria_medicinae
PVITU_3754	Physaria_vitulifera
PVITU_489	Physaria_vitulifera
PVITU_500	Physaria_vitulifera
PVITU_9196	Physaria_vitulifera
PVITU_9837	Physaria_vitulifera
