id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
147055,NMC,,,3bc468fd-522b-4e40-b52c-5668c979b865,PreservedSpecimen,,51293,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",18561,Rydb.,Physaria,floribunda,,,,,,,,,,"W.L. Baker",1132,1979-05-22,1979,5,22,142,,,"FL, EF","Pinyon-juniper woodland; shale, w/ Bouteloua gracilis, Penstemon secundiflorus, Bouteloua curtipendula; slope 22*, aspect 130*",,,,,,,,,,,,"United States","New Mexico",Taos,,"1/2 mi N of Bear Wallow Ridge Rd., 1.5 mi E of Hwy 3; UTM E449260 N4017390",,,,,,,,,,,,2238,,,,,2238m,,,,"2015-05-02 02:30:11",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:06944ca9-8e5f-4ded-8e54-bc75d7965064,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=147055
147056,NMC,,,3bc468fd-522b-4e40-b52c-5668c979b865,PreservedSpecimen,,54297,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",18561,Rydb.,Physaria,floribunda,,,,,,,,,,"Becvar, J",sn,1984-06-08,1984,6,8,160,,,"FL, EF; Very common",,,,,,,,,,,,,"United States","New Mexico",Taos,,"Sangre de Cristo Mts., Capulin Cr. Canyon just N of Hwy. 64",,,,,,,,,,,,2438,,,,,"ca. 8000ft",,,,"2015-05-02 02:30:11",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:a9cdd823-bd6b-49d3-97f9-0a7573292c22,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=147056
228481,USU,UTC,,06bf658d-f555-4c9c-ab93-fc2d7db7086e,PreservedSpecimen,USU:UTC:187067,UTC00187067,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",18561,Rydb.,Physaria,floribunda,,,,,,,,,,"RC Rollins; KW Rollins; A.G. Roads ",8339,1983-06-15,1983,6,15,166,,,,"Steep talus slope ",,,,,,,,,,,,"United States","New Mexico",Taos,,"Steep talus slope near State Rt. 3; 1 mi SE of Tres Ritos ",,,,,,,,,,,,,,,,,,,,,"2016-11-30 13:49:51",http://creativecommons.org/publicdomain/zero/1.0/,"Utah State University",,urn:uuid:c1bd864a-7fa7-49b0-b76f-468fd0b60c06,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=228481
485562,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,71119,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",18561,Rydb.,Physaria,floribunda,,,"Jennifer Ackerfield, 1-2011",,,,,,,"E Neese 13387a",,1983-05-24,1983,5,24,144,,,,"mixed sandstone/clay",,,,,,,,,,,,USA,Colorado,"Mesa County",,"S side of Black Ridge ca 7 air mi SSW of Fruita",,39.0542,-108.7627,,,"T11S  R102W S35",,,,,,2087,,,,,"6847 ft.",,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:ce960ab2-c3c0-4c83-822e-a7ae7ec02bae,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=485562
485664,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,31772,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",18561,Rydb.,Physaria,floribunda,,,"Bill Jennings",,,,,,,"H Harrington 4288",,1949-06-09,1949,6,9,160,,,,,,,,,,,,,,,,USA,Colorado,"Garfield County",,"7 mi SW of Grand Valley",,39.3924,-108.1217,,,,,,,,,1524,,,,,"5000 ft.",,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:81672b23-0219-472c-ad08-c50b6a5cdb9d,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=485664
485666,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,66359,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",18561,Rydb.,Physaria,floribunda,,,"Bill Jennings",,,,,,,"P Nicholas 66",,1981-06-20,1981,6,20,171,,,,,,,,,,,,,,,,USA,Colorado,"Garfield County",,"Cabin Water Ck E end of Roan Plateau",,39.5409,-108.0575,,,"T6S R96W S12",,,,,,2590,,,,,"8498 ft.",,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:3893a1af-4e9a-4bfb-87f7-7b61333eb36f,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=485666
485668,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,56752,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",18561,Rydb.,Physaria,floribunda,,,"Jennifer Ackerfield, 1-2011",,,,,,,"D Wilken et al 12058",,1974-05-26,1974,5,26,146,,,,"sandy roadbanks",,,,,,,,,,,,USA,Colorado,"Garfield County",,"along rd to Baxter Pass 30 mi N of jct with St Hwy 789",,39.5821,-108.9339,,,,,,,,,2130,,,,,"6989 ft.",,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:45afd293-374a-42cc-851f-0366c2e7fdcd,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=485668
485669,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,45247,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",18561,Rydb.,Physaria,floribunda,,,"Bill Jennings",,,,,,,"D Dunn 14243",,1963-06-25,1963,6,25,176,,,,"dry rocky roadbank & ditch",,,,,,,,,,,,USA,Colorado,"Gunnison County",,"10 mi S of Crested Butte",,38.71959,-106.99881,,,,,,,,,2590,,,,,"8498 ft.",,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:e6bdafe8-042f-4e65-bc02-9d3a05b70f93,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=485669
485670,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,72124,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",18561,Rydb.,Physaria,floribunda,,,,,,,,,,"E Neese 15862",,1984-07-14,1984,7,14,196,,,,"gravelly borrow pit",,,,,,,,,,,,USA,Colorado,"Gunnison County",,"Powderhorn School, 2.2 mi SE of Hwy 149",,38.2672,-107.0838,,,"T46N  R2W S3",,,,,,2499,,,,,"8199 ft.",,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:86b6ac20-bf29-4a2d-88d6-8aadda11c265,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=485670
485693,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,66871,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",18561,Rydb.,Physaria,floribunda,,,"Jennifer Ackerfield, 1-2011",,,,,,,"S O'Kane 219",,1981-06-12,1981,6,12,163,,,,"road cut",,,,,,,,,,,,USA,Colorado,"Rio Blanco County",,"3/4 mi E of Four-mile Rd from jct with E Miller Ck Rd",,,,,,,,,,,,2440,,,,,"8006 ft.",,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:c5bb49a7-5a8b-4448-8f79-c8ffe3790a5d,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=485693
