id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordID,references
147055,NMC,,,3bc468fd-522b-4e40-b52c-5668c979b865,PreservedSpecimen,,51293,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Physaria",Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",18561,Rydb.,Physaria,,floribunda,,,Species,,,,,,,,"W.L. Baker",1132,1979-05-22,1979,5,22,142,,,"FL, EF","Pinyon-juniper woodland; shale, w/ Bouteloua gracilis, Penstemon secundiflorus, Bouteloua curtipendula; slope 22*, aspect 130*",,,,,,,,,,,,,,,,,,,,"United States","New Mexico",Taos,,"1/2 mi N of Bear Wallow Ridge Rd., 1.5 mi E of Hwy 3; UTM E449260 N4017390",,,,,,,,,,,,2238,,,,,2238m,,,,"2023-07-16 07:02:03",http://creativecommons.org/licenses/by-nc/3.0/,,,06944ca9-8e5f-4ded-8e54-bc75d7965064,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=147055
147056,NMC,,,3bc468fd-522b-4e40-b52c-5668c979b865,PreservedSpecimen,,54297,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Physaria",Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",18561,Rydb.,Physaria,,floribunda,,,Species,,,,,,,,"Becvar, J",sn,1984-06-08,1984,6,8,160,,,"FL, EF; Very common",,,,,,,,,,,,,,,,,,,,,"United States","New Mexico",Taos,,"Sangre de Cristo Mts., Capulin Cr. Canyon just N of Hwy. 64",,,,,,,,,,,,2438,,,,,"ca. 8000ft",,,,"2023-07-16 07:02:03",http://creativecommons.org/licenses/by-nc/3.0/,,,a9cdd823-bd6b-49d3-97f9-0a7573292c22,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=147056
228481,USU,UTC,,06bf658d-f555-4c9c-ab93-fc2d7db7086e,PreservedSpecimen,USU:UTC:187067,UTC00187067,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Physaria",Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",18561,Rydb.,Physaria,,floribunda,,,Species,,,,,,,,"RC Rollins; KW Rollins; A.G. Roads ",8339,1983-06-15,1983,6,15,166,,,,"Steep talus slope ",,,,,,"herbariumSpecimenDuplicate: https://swbiodiversity.org/seinet/collections/individual/index.php?guid=071dfe0c-1466-4214-970f-51793f112a0a",,,,,,,,,,,,,,"United States","New Mexico",Taos,,"Steep talus slope near State Rt. 3; 1 mi SE of Tres Ritos ",,,,,,,,,,,,,,,,,,,,,"2023-07-16 07:02:03",http://creativecommons.org/publicdomain/zero/1.0/,"Utah State University",,c1bd864a-7fa7-49b0-b76f-468fd0b60c06,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=228481
485562,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,ce960ab2-c3c0-4c83-822e-a7ae7ec02bae,119568,71119,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Physaria",Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",18561,Rydb.,Physaria,,floribunda,,,Species,"Jennifer Ackerfield, 1-2011",,,,,,,"collectors: E Neese 13387a",,1983-05-24,1983,5,24,144,,"24 May 1983",,"mixed sandstone/clay",,,,,,,,"pinyon, black sage",,,,,1,,,,,,,"United States",Colorado,"Mesa County",,"S side of Black Ridge ca 7 air mi SSW of Fruita",,39.05,-108.76,WGS84,,,,,,,,2087,,,,,6847ft.,,en,,"2017-01-16 20:08:47",http://creativecommons.org/licenses/by-nc/3.0/,,,ce960ab2-c3c0-4c83-822e-a7ae7ec02bae,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=485562
485664,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,81672b23-0219-472c-ad08-c50b6a5cdb9d,119578,31772,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Physaria",Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",18561,Rydb.,Physaria,,floribunda,,,Species,"Bill Jennings",,,,,,,"collectors: H Harrington 4288",,1949-06-09,1949,6,9,160,,"9 Jun 1949",,,,,,,,,,,,,,,1,,,,,,,"United States",Colorado,"Garfield County",,"7 mi SW of Grand Valley",,39.39,-108.12,WGS84,,,,,,,,1524,,,,,5000ft.,,en,,"2017-01-16 20:07:08",http://creativecommons.org/licenses/by-nc/3.0/,,,81672b23-0219-472c-ad08-c50b6a5cdb9d,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=485664
485666,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,3893a1af-4e9a-4bfb-87f7-7b61333eb36f,119580,66359,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Physaria",Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",18561,Rydb.,Physaria,,floribunda,,,Species,"Bill Jennings",,,,,,,"collectors: P Nicholas 66",,1981-06-20,1981,6,20,171,,"20 Jun 1981",,,,,,,,,,,,,,,1,,,,,,,"United States",Colorado,"Garfield County",,"Cabin Water Ck E end of Roan Plateau",,39.54,-108.05,WGS84,,,,,,,,2590,,,,,8498ft.,,en,,"2017-01-16 20:07:08",http://creativecommons.org/licenses/by-nc/3.0/,,,3893a1af-4e9a-4bfb-87f7-7b61333eb36f,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=485666
485668,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,45afd293-374a-42cc-851f-0366c2e7fdcd,119566,56752,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Physaria",Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",18561,Rydb.,Physaria,,floribunda,,,Species,"Jennifer Ackerfield, 1-2011",,,,,,,"collectors: D Wilken et al 12058",,1974-05-26,1974,5,26,146,,"26 May 1974",,"sandy roadbanks",,,,,,,,,,,,,1,,,,,,,"United States",Colorado,"Garfield County",,"along rd to Baxter Pass 30 mi N of jct with St Hwy 789",,39.58,-108.93,WGS84,,,,,,,,2130,,,,,6989ft.,,en,,"2017-01-16 20:07:07",http://creativecommons.org/licenses/by-nc/3.0/,,,45afd293-374a-42cc-851f-0366c2e7fdcd,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=485668
485669,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,e6bdafe8-042f-4e65-bc02-9d3a05b70f93,119591,45247,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Physaria",Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",18561,Rydb.,Physaria,,floribunda,,,Species,"Bill Jennings",,,,,,,"collectors: D Dunn 14243",,1963-06-25,1963,6,25,176,,"25 Jun 1963",,"dry rocky roadbank & ditch",,,,,,,,"Artemisia, Oxytropis, Ipomopsis",,,,,1,,,,,,,"United States",Colorado,"Gunnison County",,"10 mi S of Crested Butte",,38.71,-106.99,WGS84,,,,,,,,2590,,,,,8498ft.,,en,,"2017-01-16 20:07:07",http://creativecommons.org/licenses/by-nc/3.0/,,,e6bdafe8-042f-4e65-bc02-9d3a05b70f93,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=485669
485670,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,86b6ac20-bf29-4a2d-88d6-8aadda11c265,119583,72124,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Physaria",Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",18561,Rydb.,Physaria,,floribunda,,,Species,,,,,,,,"collectors: E Neese 15862",,1984-07-14,1984,7,14,196,,"14 Jul 1984",,"gravelly borrow pit",,,,,,,,"Artemisia frigida, Chrysothamnus viscidiflorus",,,,,1,,,,,,,"United States",Colorado,"Gunnison County",,"Powderhorn School, 2.2 mi SE of Hwy 149",,38.26,-107.08,WGS84,,,,,,,,2499,,,,,8199ft.,,en,,"2017-01-16 20:07:07",http://creativecommons.org/licenses/by-nc/3.0/,,,86b6ac20-bf29-4a2d-88d6-8aadda11c265,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=485670
485693,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,c5bb49a7-5a8b-4448-8f79-c8ffe3790a5d,119567,66871,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Physaria",Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",18561,Rydb.,Physaria,,floribunda,,,Species,"Jennifer Ackerfield, 1-2011",,,,,,,"collectors: S O'Kane 219",,1981-06-12,1981,6,12,163,,"12 Jun 1981",,"road cut",,,,,,,,,,,,,1,,,,,,,"United States",Colorado,"Rio Blanco County",,"3/4 mi E of Four-mile Rd from jct with E Miller Ck Rd",,39.89,-107.77,WGS84,,,,,,,,2440,,,,,8006ft.,,en,,"2017-01-16 20:07:00",http://creativecommons.org/licenses/by-nc/3.0/,,,c5bb49a7-5a8b-4448-8f79-c8ffe3790a5d,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=485693
