taxa_label,Collector,Collection_Number,Herbarium,State,County,Latitude,Longitude,ID_prior,ID_final,multiLocus,header_rITS,header_rps,header_ycf1
LARGY_7548,Missing,7548,NA,Unknown,NA,NA,NA,Physaria argyraea,,TRUE,LARGY_7548 rITS,LARGY_7548 rps,LARGY_7548 ycf1
LFEND_4355,Oroth,4355,NA,New Mexico,McKinley,NA,NA,Physaria fendleri,,TRUE,LFEND_4355 rITS,LFEND_4355 rps,LFEND_4355 ycf1
PACUT_12821,R.L. Hartman with K.H. Dueholm,12821,UTC,Wyoming,Hot Springs,43.6339,-108.0067,Physaria acutifolia,Physaria acutifolia,FALSE,PACUT_12821 rITS,PACUT_12821 rps,MISSING
PACUT_14050,W. Fertig,14050,RM,Wyoming,Natrona,42.7004,-106.3326,Physaria acutifolia,Physaria acutifolia,TRUE,PACUT_14050 rITS,PACUT_14050 rps,PACUT_14050 ycf1
PACUT_14222,N.H. Holmgren and P.K. Holmgren,14222,ISTC,Utah,Grand,38.6653,-109.4194,Physaria acutifolia,Physaria acutifolia,TRUE,PACUT_14222 rITS,PACUT_14222 rps,PACUT_14222 ycf1
PACUT_16125,W. Fertig,16125,RM,Wyoming,Sweetwater,42.0905,-108.7717,Physaria acutifolia,Physaria acutifolia,FALSE,PACUT_16125 rITS,PACUT_16125 rps,MISSING
PACUT_26706,B. E. Nelson with R. Nelson,26706,RM,Wyoming,Sublette,42.3843,-110.2758,Physaria acutifolia,Physaria acutifolia,TRUE,PACUT_26706 rITS,PACUT_26706 rps,PACUT_26706 ycf1
PACUT_3721,"S.L. O'Kane, Jr. & J.A. Anderson",3721,ITSC,Colorado,Ouray,38.2914,-107.7589,Physaria acutifolia,Physaria acutifolia,TRUE,PACUT_3721 rITS,PACUT_3721 rps,PACUT_3721 ycf1
PACUT_3769,"S.L. O'Kane, Jr.",3769,RM,Colorado,Rio Blanco,40.1808,-108.8417,Physaria acutifolia,Physaria acutifolia,FALSE,PACUT_3769 rITS,PACUT_3769 rps,FRAMESHIFT
PACUT_48,"J. Ratcliff & S. L. O'Kane, Jr.",48,ISTC,Montana,Carbon,45.0086,-108.4236,Physaria acutifolia,Physaria acutifolia,TRUE,PACUT_48 rITS,PACUT_48 rps,PACUT_48 ycf1
