label,Collection_Number,Collector.x,Collector.y,Physaria_a_priori_1,Physaria_a_priori_2,Physaria_a_priori_3,Physaria_a_priori_4,Physaria_recent,Physaria_syn,Taxon,Taxon_a_posteriori,ID_prior,ID_final,Herbarium.x,Herbarium.y,State.x,State.y,County.x,County.y,Date,Date_parsed,Date_md,App.A,Latitude,Longitude
LARGY_7548,7548,Missing,Missing,Lesquerella argyrea,NA,NA,NA,Lesquerella argyrea,Lesquerella argyrea,Lesquerella argyrea,Lesquerella argyrea,Physaria argyreae,NA,NA,ISTC,Unknown,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA
LFEND_4355,4355,Oroth,Oroth,Lesquerella fendleri,NA,NA,NA,Lesquerella fendleri,Lesquerella fendleri,Lesquerella fendleri,Lesquerella fendleri,Physaria fendleri,NA,NA,ISTC,New Mexico,New Mexico,McKinley,McKinley,NA,NA,NA,NA,NA,NA
PACUT_12821,12821,R.L. Hartman with K.H. Dueholm,R.L. Hartman with K.H. Dueholm,Physaria acutifolia,NA,NA,NA,Physaria acutifolia,Physaria acutifolia,Physaria acutifolia,Physaria acutifolia,Physaria acutifolia,NA,UTC,UTC,Wyoming,Wyoming,Hot Springs,Hot Springs,05/28/1981,1981-05-28,2019-05-28,x,43.6339,-108.0067
PACUT_14050,14050,W. Fertig,W. Fertig,Physaria acutifolia,NA,NA,NA,Physaria acutifolia,Physaria acutifolia,Physaria acutifolia,Physaria acutifolia,Physaria acutifolia,NA,RM,RM,Wyoming,Wyoming,Natrona,Natrona,07/09/1993,1993-07-09,2019-07-09,x,42.7004,-106.3326
PACUT_14222,14222,"N.H., P.K. Holmgren","N.H., P.K. Holmgren",Physaria acutifolia,NA,NA,NA,Physaria acutifolia,Physaria acutifolia,Physaria acutifolia,Physaria acutifolia,Physaria acutifolia,NA,ISTC,"UTC, NY",Utah,Utah,Grand,Grand,05/19/2001,2001-05-19,2019-05-19,x,38.6653,-109.4194
PACUT_16125,16125,W. Fertig,W. Fertig,Physaria acutifolia,NA,NA,NA,Physaria acutifolia,Physaria acutifolia,Physaria acutifolia,Physaria acutifolia,Physaria acutifolia,NA,RM,RM,Wyoming,Wyoming,Sweetwater,Sweetwater,07/27/1995,1995-07-27,2019-07-27,x,42.0905,-108.7717
PACUT_26706,26706,B. E. Nelson with R. Nelson,B. E. Nelson with R. Nelson,Physaria acutifolia,NA,NA,NA,Physaria acutifolia,Physaria acutifolia,Physaria acutifolia,Physaria acutifolia,Physaria acutifolia,NA,RM,RM,Wyoming,Wyoming,Sublette,Sublette,06/28/1993,1993-06-28,2019-06-28,x,42.3843,-110.2758
PACUT_3721,3721,"S.L. O'Kane, Jr. & J.A. Anderson","S.L. O'Kane, Jr. & J.A. Anderson",Physaria acutifolia,NA,NA,NA,Physaria acutifolia,Physaria acutifolia,Physaria acutifolia,Physaria acutifolia,Physaria acutifolia,NA,ITSC,RM,Colorado,Colorado,Ouray,Ouray,05/18/1996,1996-05-18,2019-05-18,x,38.2914,-107.7589
PACUT_3769,3769,"S.L. O'Kane, Jr.","S.L. O'Kane, Jr.",Physaria acutifolia,NA,NA,NA,Physaria acutifolia,Physaria acutifolia,Physaria acutifolia,NA,Physaria acutifolia,NA,RM,RM,Colorado,Colorado,Rio Blanco,Rio Blanco,05/30/1996,1996-05-30,2019-05-30,x,40.1808,-108.8417
PACUT_48,48,"J. Ratcliff & S. L. O'Kane, Jr.","J. Ratcliff & S. L. O'Kane, Jr.",Physaria acutifolia,NA,NA,NA,Physaria acutifolia,Physaria acutifolia,Physaria acutifolia,NA,Physaria acutifolia,NA,ISTC,ISTC,Montana,Montana,Carbon,Carbon,06/15/2014,2014-06-15,2019-06-15,NA,45.0086,-108.4236
PACUT_5199,5199,L. M. Moore,L. M. Moore,Physaria acutifolia,NA,NA,NA,Physaria acutifolia,Physaria acutifolia,Physaria acutifolia,Physaria acutifolia,Physaria acutifolia,NA,RM,RM,Colorado,Colorado,Montezuma,Montezuma,06/07/1995,1995-06-07,2019-06-07,x,37.3928,-108.4724
