Taxon,Voucher Information,Locality
\textit{P. eburniflora},R. Dorn 10410 (RM),"Carbon Co., WY"
\textit{P. eburniflora},A. Salywon and D. Dierig 3120 (ISTC) *,"Carbon Co., WY"
\textit{P. eburniflora},W. Fertig 14841 (RM),"Fremont Co., WY"
\textit{P. eburniflora},J. Ratcliff and S. L. O'Kane 38 (ISTC),"Fremont Co., WY"
\textit{P. eburniflora},J. Ratcliff and S. L. O'Kane 37 (ISTC),"Fremont Co., WY"
\textit{P. integrifolia},J. Ratcliff and S. L. O'Kane 43 (ISTC),"Lincoln Co., WY"
\textit{P. integrifolia},W. Fertig 17493 (RM),"Lincoln Co., WY"
\textit{P. integrifolia},J. Ratcliff and S. L. O'Kane 44 (ISTC),"Lincoln Co., WY"
\textit{P. integrifolia},B. E. Nelson 19288 (RM),"Teton Co., WY"
\textit{P. integrifolia},A. Salywon and D. Dierig 3149 (ISTC) *,"Sublette Co., WY"
\textit{P. saximontana} ssp. \textit{dentata},P. Lesica and D. Hanna 9833 (MONTU),"Fergus Co., MT"
\textit{P. saximontana} ssp. \textit{dentata},J. Ratcliff and M. Horsch 56 (ISTC),"Glacier Co., MT"
\textit{P. saximontana} ssp. \textit{dentata},R.S. Wirt 79 (ISTC) *,"Pondera Co., MT"
\textit{P. saximontana} ssp. \textit{dentata},P. Lesica 4481 (GH),"Stillwater Co., MT"
\textit{P. saximontana} ssp. \textit{saximontana},B.E. Nelson 74315 (ISTC) *,"Carbon Co., MT"
\textit{P. saximontana} ssp. \textit{saximontana},P. Lesica and P. Kittelson 9636 (MONTU),"Madison Co., MT"
\textit{P. saximontana} ssp. \textit{saximontana},J. Ratcliff and S. L. O'Kane 39 (ISTC),"Fremont Co., MT"
\textit{P. saximontana} ssp. \textit{saximontana},A. Salywon and D. Dierig 3153 (ISTC) *,"Fremont Co., MT"
\textit{P. saximontana} ssp. \textit{saximontana},J. Ratcliff and S. L. O'Kane 50 (ISTC),"Hot Springs Co., MT"
\textit{P. vitulifera},O'Kane 9196 (ISTC),"Chaffee Co., CO"
\textit{P. vitulifera},R. Dorn 9837 (RM),"Douglas Co., CO"
\textit{P. vitulifera},S.L. O'Kane 3754 (ISTC),"Gilpin Co., CO"
\textit{P. vitulifera},W. Fertig 16713 (RM),"Carbon Co., WY"
\textit{P. vitulifera},R. Dorn 10105 (RM),"Carbon Co., WY"
\textit{P. vitulifera},W. Fertig and L. Welp 19075 (RM),"Carbon Co., WY"
\textit{P. vitulifera},J. Ratcliff and S. L. O'Kane 34 (ISTC),"Carbon Co., WY"
\textit{P. obcordata},3762 **,
\textit{P. argyraea},7548 *,
\textit{P. fendleri},Oroth 4355 *,"McKinley Co., New Mexico"
