Taxon,Voucher Information,Locality
\textit{P. acutifolia},O'Kane and Anderson 3721 (ISTC) *,"Ouray Co., CO"
\textit{P. acutifolia},O'Kane 3769 (ISTC),"Rio Blanco Co., CO"
\textit{P. acutifolia},Ratcliff and O'Kane 48 (ISTC),"Carbon Co., WY"
\textit{P. acutifolia},N.H. Holmgren and P.K. Holmgren 14222 (ISTC),"Grand Co., UT"
\textit{P. acutifolia},R. C. Rollins and K. W. Rollins 8621 (RM),"Albany Co., WY"
\textit{P. acutifolia},R.L. Hartman and K.H. Dueholm 12821 (ISTC) *,"Hot Springs Co., WY"
\textit{P. acutifolia},W. Fertig 14050 (RM),"Natrona Co., WY"
\textit{P. acutifolia},B. E. Nelson and R. Nelson 26706 (RM),"Sublette Co., WY"
\textit{P. acutifolia},W. Fertig 16125 (RM),"Sweetwater Co., WY"
\textit{P. acutifolia},R. Dorn 7997 (RM),"Uinta Co., WY"
\textit{P. acutifolia},O'Kane 3743 (ISTC) **,"La Plata Co., CO"
\textit{P. acutifolia},L. M. Moore 5199 (RM),"Montezuma Co., CO"
\textit{P. brassicoides},Heidel 1811 (ISTC) *,"Powder River Co., MT"
\textit{P. brassicoides},A. Salywon and D. Dierig 3130 (ISTC) *,"Campbell Co., WY"
\textit{P. brassicoides},J. Ratcliff and S. L. O'Kane 54 (ISTC),"Crook Co., WY"
\textit{P. brassicoides},J. Ratcliff and S. L. O'Kane 53 (ISTC),"Crook Co., WY"
\textit{P. brassicoides},R. Dorn 4225 (RM),"Platte Co., WY"
\textit{P. brassicoides},A. Salywon and D. Dierig 3122 (ISTC),"Converse Co., WY"
\textit{P. condensata},W. Fertig 16765 (RM),"Lincoln Co., WY"
\textit{P. condensata},J. Ratcliff and S. L. O'Kane 40 (ISTC),"Lincoln Co., WY"
\textit{P. condensata},J. Ratcliff and S. L. O'Kane 41 (ISTC),"Lincoln Co., WY"
\textit{P. condensata},S.L. O'Kane 3787 (ISTC) *,"Uinta Co., WY"
\textit{P. didymocarpa} ssp. \textit{didymocarpa},J. Ratcliff and S. L. O'Kane 47 (ISTC),"Gallatin Co., WY"
\textit{P. didymocarpa} ssp. \textit{didymocarpa},J. Ratcliff and S. L. O'Kane 46 (ISTC),"Granite Co., MT"
\textit{P. didymocarpa} ssp. \textit{didymocarpa},S.L. O'Kane 3794 (ISTC) *,"Granite Co., MT"
\textit{P. didymocarpa} ssp. \textit{didymocarpa},E. F. Evert 12677 (RM),"Park Co., WY"
\textit{P. didymocarpa} ssp. \textit{didymocarpa},S. Smith 551 (ISTC),"Park Co., WY"
\textit{P. didymocarpa} ssp. \textit{lanata},K. O'Dea 32 (RM),"Big Horn Co., WY"
\textit{P. didymocarpa} ssp. \textit{lanata},J. Ratcliff and S. L. O'Kane 52 (ISTC),"Johnson Co., WY"
\textit{P. didymocarpa} ssp. \textit{lanata},W. Fertig and J. Britt 14773 (RM),"Sheridan Co., WY"
\textit{P. didymocarpa} ssp. \textit{lanata},A. Salywon and D. Dierig 3136 (ISTC)*,"Johnson Co., WY"
\textit{P. didymocarpa} ssp. \textit{lanata},A. Salywon and D. Dierig 3138 (ISTC)*,"Johnson Co., WY"
\textit{P. didymocarpa} ssp. \textit{lyrata},J. Ratcliff and S. L. O'Kane 45 (ISTC),"Lemhi Co., ID"
\textit{P. didymocarpa} ssp. \textit{lyrata},R. Rosentreter 2689 (NY) *,"Lemhi Co., ID"
\textit{P. didymocarpa} ssp. \textit{lyrata},R. Rosentreter 3855 (NY) *,"Lemhi Co., ID"
\textit{P. dornii},W. Fertig 17506 (RM),"Lincoln Co., WY"
\textit{P. dornii},J. Ratcliff and S. L. O'Kane 42 (ISTC),"Lincoln Co., WY"
\textit{P. dornii},Fertig 17506 (RM),"Lincoln Co., WY"
\textit{P. dornii},C. H. Refsdal and L. Refsdal 4376 (RM) *,"Uinta Co., WY"
