id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
3127504,NMC,,,3bc468fd-522b-4e40-b52c-5668c979b865,PreservedSpecimen,,12222,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda var. osterhoutii","(Payson) Rollins",Physaria,floribunda,var.,osterhoutii,,,,,,,,"G.E. Osterhout",3477,1907-00-00,1907,0,0,,,,,,,,,,,,,,,,,,,"United States",Colorado,Grand,,Kremmling,,,,,,,,,,,,,,,,,,,,,"2015-05-02 02:30:11",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:fc48092b-817c-4ca9-9f9b-4ac053f45198,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3127504
485562,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,71119,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,"Jennifer Ackerfield, 1-2011",,,,,,,"E Neese 13387a",,1983-05-24,1983,5,24,144,,,,"mixed sandstone/clay",,,,,,,,,,,,,,USA,Colorado,"Mesa County",,"S side of Black Ridge ca 7 air mi SSW of Fruita",,39.0542,-108.7627,,,"T11S  R102W S35",,,,,,2087,,,,,"6847 ft.",,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:ce960ab2-c3c0-4c83-822e-a7ae7ec02bae,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=485562
485664,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,31772,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,"Bill Jennings",,,,,,,"H Harrington 4288",,1949-06-09,1949,6,9,160,,,,,,,,,,,,,,,,,,USA,Colorado,"Garfield County",,"7 mi SW of Grand Valley",,39.3924,-108.1217,,,,,,,,,1524,,,,,"5000 ft.",,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:81672b23-0219-472c-ad08-c50b6a5cdb9d,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=485664
485666,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,66359,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,"Bill Jennings",,,,,,,"P Nicholas 66",,1981-06-20,1981,6,20,171,,,,,,,,,,,,,,,,,,USA,Colorado,"Garfield County",,"Cabin Water Ck E end of Roan Plateau",,39.5409,-108.0575,,,"T6S R96W S12",,,,,,2590,,,,,"8498 ft.",,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:3893a1af-4e9a-4bfb-87f7-7b61333eb36f,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=485666
485668,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,56752,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,"Jennifer Ackerfield, 1-2011",,,,,,,"D Wilken et al 12058",,1974-05-26,1974,5,26,146,,,,"sandy roadbanks",,,,,,,,,,,,,,USA,Colorado,"Garfield County",,"along rd to Baxter Pass 30 mi N of jct with St Hwy 789",,39.5821,-108.9339,,,,,,,,,2130,,,,,"6989 ft.",,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:45afd293-374a-42cc-851f-0366c2e7fdcd,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=485668
485669,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,45247,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,"Bill Jennings",,,,,,,"D Dunn 14243",,1963-06-25,1963,6,25,176,,,,"dry rocky roadbank & ditch",,,,,,,,,,,,,,USA,Colorado,"Gunnison County",,"10 mi S of Crested Butte",,38.71959,-106.99881,,,,,,,,,2590,,,,,"8498 ft.",,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:e6bdafe8-042f-4e65-bc02-9d3a05b70f93,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=485669
485670,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,72124,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,,,,,,,,"E Neese 15862",,1984-07-14,1984,7,14,196,,,,"gravelly borrow pit",,,,,,,,,,,,,,USA,Colorado,"Gunnison County",,"Powderhorn School, 2.2 mi SE of Hwy 149",,38.2672,-107.0838,,,"T46N  R2W S3",,,,,,2499,,,,,"8199 ft.",,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:86b6ac20-bf29-4a2d-88d6-8aadda11c265,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=485670
485693,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,66871,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,"Jennifer Ackerfield, 1-2011",,,,,,,"S O'Kane 219",,1981-06-12,1981,6,12,163,,,,"road cut",,,,,,,,,,,,,,USA,Colorado,"Rio Blanco County",,"3/4 mi E of Four-mile Rd from jct with E Miller Ck Rd",,,,,,,,,,,,2440,,,,,"8006 ft.",,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:c5bb49a7-5a8b-4448-8f79-c8ffe3790a5d,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=485693
485699,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,66997,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,"Jennifer Ackerfield, 1-2011",,,,,,,"S O'Kane 117",,1981-04-24,1981,4,24,114,,,,,,,,,,,,,,,,,,USA,Colorado,"Rio Blanco County",,"jct of Fourmile Ck Rd & E Miller Ck Rd",,39.875,-107.75,,,,,,,,,2318,,,,,"7605 ft.",,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:c8b69b33-2bf8-45b2-93ac-e0bb849cfebb,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=485699
485702,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,61516,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,"Jennifer Ackerfield, 1-2011",,,,,,,"F Stermitz FRS-78",,1978-05-27,1978,5,27,147,,,,,,,,,,,,,,,,,,USA,Colorado,"Routt County",,"ca 4 mi S of Milner on rd to Oak Ck",,,,,,,,,,,,,,,,,,,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:76aecf87-6410-4bc2-b1df-51212c63384d,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=485702
