Genotype,State,Species,Collector,Collection Number
1,Wyoming,$Physaria$ $acutifolia$,W. Fertig,14050
1,Wyoming,$Physaria$ $acutifolia$,B. E. Nelson and R. Nelson,26706
1,Colorado,$Physaria$ $acutifolia$,O'Kane and Anderson ,3721
1,Colorado,$Physaria$ $acutifolia$,L. M. Moore,5199
1,Wyoming,$Physaria$ $acutifolia$,Rollins and Rollins,8621
1,Wyoming,$Physaria$ $brassicoides$,Dorn,4225
1,Wyoming,$Physaria$ $brassicoides$,"J. Ratcliff and S. L. O'Kane, Jr. ",53
1,Wyoming,$Physaria$ $brassicoides$,"J. Ratcliff and S. L. O'Kane, Jr. ",54
1,Wyoming,$Physaria$ $condensata$,"S.L. O'Kane, Jr.",3787
1,Wyoming,$Physaria$ $condensata$,"J. Ratcliff and S. L. O'Kane, Jr. ",40
1,Wyoming,$Physaria$ $condensata$,"J. Ratcliff and S. L. O'Kane, Jr. ",41
1,Montana,$Physaria$ $didymocarpa$ ssp. $didymocarpa$,"S.L. O'Kane, Jr.",3794
1,Montana,$Physaria$ $didymocarpa$ ssp. $didymocarpa$,"J. Ratcliff and S. L. O'Kane, Jr.",46
1,Wyoming,$Physaria$ $didymocarpa$ ssp. $didymocarpa$,"J. Ratcliff and S. L. O'Kane, Jr.",47
1,Wyoming,$Physaria$ $didymocarpa$ ssp. $lanata$,W. Fertig and J. Britt,14773
1,Wyoming,$Physaria$ $didymocarpa$ ssp. $lanata$,"J. Ratcliff and S. L. O'Kane, Jr.",52
1,Idaho,$Physaria$ $didymocarpa$ ssp. $lyrata$,R. Rosentreter ,2689
1,Idaho,$Physaria$ $didymocarpa$ ssp. $lyrata$,R. Rosentreter ,3855
1,Idaho,$Physaria$ $didymocarpa$ ssp. $lyrata$,"J. Ratcliff and S. L. O'Kane, Jr.",45
1,Wyoming,$Physaria$ $dornii$,"J. Ratcliff and S. L. O'Kane, Jr.",42
1,Wyoming,$Physaria$ $dornii$,C. H. Refsdal and L. Refsdal,4376
1,Wyoming,$Physaria$ $eburniflora$,R. Dorn,10410
1,Wyoming,$Physaria$ $eburniflora$,"J. Ratcliff and S. L. O'Kane, Jr.",37
1,Wyoming,$Physaria$ $integrifolia$,W. Fertig,17493
1,Wyoming,$Physaria$ $integrifolia$,B. E. Nelson,19288
1,Montana,$Physaria$ $saximontana$ ssp. $dentata$,P. Lesica,4481
1,Montana,$Physaria$ $saximontana$ ssp. $dentata$,J. Ratcliff and M. Horsch,56
1,Montana,$Physaria$ $saximontana$ ssp. $dentata$,P. Lesica and D. Hanna,9833
1,Montana,$Physaria$ $saximontana$ ssp. $saximontana$,"J. Ratcliff and S. L. O'Kane, Jr.",39
1,Montana,$Physaria$ $saximontana$ ssp. $saximontana$,"J. Ratcliff and S. L. O'Kane, Jr.",50
1,Montana,$Physaria$ $saximontana$ ssp. $saximontana$,B.E. Nelson,74315
1,Montana,$Physaria$ $saximontana$ ssp. $saximontana$,P. Lesica and P. Kittelson,9636
1,Wyoming,$Physaria$ $vitulifera$,R. Dorn,10105
1,Wyoming,$Physaria$ $vitulifera$,W. Fertig and L. Welp,19075
1,Montana,$Physaria$ $vitulifera$,"S.L. O'Kane, Jr.",3754
1,Montana,$Physaria$ $vitulifera$,R. Dorn,9837
