Taxon,Collection,Locality
*P. acutifolia*,O'Kane and Anderson 3721 (ISTC) *,"Ouray Co., CO"
*P. acutifolia*,O'Kane 3769 (ISTC),"Rio Blanco Co., CO"
*P. acutifolia*,Ratcliff and O'Kane 48 (ISTC),"Carbon Co., WY"
*P. acutifolia*,Holmgren and Holmgren 14222 (ISTC),"Grand Co., UT"
*P. acutifolia*,Rollins and Rollins 8621 (RM),"Albany Co., WY"
*P. acutifolia*,Hartman and Dueholm 12821 (ISTC) *,"Hot Springs Co., WY"
*P. acutifolia*,Fertig 14050 (RM),"Natrona Co., WY"
*P. acutifolia*,Nelson and Nelson 26706 (RM),"Sublette Co., WY"
*P. acutifolia*,Fertig 16125 (RM),"Sweetwater Co., WY"
*P. acutifolia*,Dorn 7997 (RM),"Uinta Co., WY"
*P. acutifolia*,O'Kane 3743 (ISTC) **,"La Plata Co., CO"
*P. acutifolia*,Moore 5199 (RM),"Montezuma Co., CO"
*P. brassicoides*,Heidel 1811 (ISTC) *,"Powder River Co., MT"
*P. brassicoides*,Salywon and Dierig 3130 (ISTC) *,"Campbell Co., WY"
*P. brassicoides*,Ratcliff and O'Kane 54 (ISTC),"Crook Co., WY"
*P. brassicoides*,Ratcliff and O'Kane 53 (ISTC),"Crook Co., WY"
*P. brassicoides*,Dorn 4225 (RM),"Platte Co., WY"
*P. brassicoides*,Salywon and Dierig 3122 (ISTC),"Converse Co., WY"
*P. condensata*,Fertig 16765 (RM),"Lincoln Co., WY"
*P. condensata*,Ratcliff and O'Kane 40 (ISTC),"Lincoln Co., WY"
*P. condensata*,Ratcliff and O'Kane 41 (ISTC),"Lincoln Co., WY"
*P. condensata*,O'Kane 3787 (ISTC) *,"Uinta Co., WY"
*P. didymocarpa* subsp. *didymocarpa*,Ratcliff and O'Kane 47 (ISTC),"Gallatin Co., WY"
*P. didymocarpa* subsp. *didymocarpa*,Ratcliff and O'Kane 46 (ISTC),"Granite Co., MT"
*P. didymocarpa* subsp. *didymocarpa*,O'Kane 3794 (ISTC) *,"Granite Co., MT"
*P. didymocarpa* subsp. *didymocarpa*,Evert 12677 (RM),"Park Co., WY"
*P. didymocarpa* subsp. *didymocarpa*,Smith 551 (ISTC),"Park Co., WY"
*P. didymocarpa* subsp. *lanata*,O'Dea 32 (RM),"Big Horn Co., WY"
*P. didymocarpa* subsp. *lanata*,Ratcliff and O'Kane 52 (ISTC),"Johnson Co., WY"
