spp_combined,spp_hypothesis1,spp_hypothesis2,spp_hypothesis3,spp_hypothesis4
PACUT_12821,P. acutifolia,P. acutifolia,P. acutifolia,P. acutifolia
PACUT_14050,P. acutifolia,P. acutifolia,P. acutifolia,P. acutifolia
PACUT_14222,P. acutifolia,P. acutifolia,P. acutifolia,P. acutifolia
PACUT_16125,P. acutifolia,P. acutifolia,P. acutifolia,P. acutifolia
PACUT_26706,P. acutifolia,P. acutifolia,P. acutifolia,P. acutifolia
PACUT_3721,P. acutifolia,P. acutifolia,P. acutifolia,P. acutifolia
PACUT_3769,P. acutifolia,P. acutifolia,P. acutifolia,P. acutifolia
PACUT_48,P. acutifolia,P. acutifolia,P. acutifolia,P. acutifolia
PACUT_5199,P. acutifolia,P. acutifolia,P. acutifolia,P. acutifolia
PACUT_7997,P. acutifolia,P. acutifolia,P. acutifolia,P. acutifolia
PACUT_8621,P. acutifolia,P. acutifolia,P. acutifolia,P. acutifolia
PBRAS_1811,P. acutifolia,P. acutifolia,P. acutifolia,P. acutifolia
PBRAS_3122,P. brassicoides,P. brassicoides,P. brassicoides,P. brassicoides
PBRAS_3130,P. brassicoides,P. brassicoides,P. brassicoides,P. brassicoides
PBRAS_4225,P. brassicoides,P. brassicoides,P. brassicoides,P. brassicoides
PBRAS_53,P. brassicoides,P. brassicoides,P. brassicoides,P. brassicoides
PBRAS_54,P. brassicoides,P. brassicoides,P. brassicoides,P. brassicoides
PCOND_16765,P. condensata,P. condensata,P. condensata,P. condensata
PCOND_3787,P. condensata,P. condensata,P. condensata,P. condensata
PCOND_40,P. condensata,P. condensata,P. condensata,P. condensata
PCOND_41,P. condensata,P. condensata,P. condensata,P. condensata
PDIDY_DI_12677,P. didymocarpa subsp. didymocarpa,P. didymocarpa subsp. didymocarpa,P. didymocarpa subsp. didymocarpa,P. didymocarpa subsp. didymocarpa
PDIDY_DI_3794,P. didymocarpa subsp. didymocarpa,P. didymocarpa subsp. didymocarpa,P. didymocarpa subsp. didymocarpa,P. didymocarpa subsp. didymocarpa
PDIDY_DI_47,P. didymocarpa subsp. didymocarpa,P. didymocarpa subsp. didymocarpa,P. didymocarpa subsp. didymocarpa,P. didymocarpa subsp. didymocarpa
PDIDY_DI_551,P. didymocarpa subsp. didymocarpa,P. didymocarpa subsp. didymocarpa,P. didymocarpa subsp. didymocarpa,P. didymocarpa subsp. didymocarpa
PDIDY_LA_14773,P. didymocarpa subsp. lanata,P. didymocarpa subsp. lanata,P. didymocarpa subsp. lanata,P. didymocarpa subsp. lanata
PDIDY_LA_3136,P. didymocarpa subsp. lanata,P. didymocarpa subsp. lanata,P. didymocarpa subsp. lanata,P. didymocarpa subsp. lanata
PDIDY_LA_32,P. didymocarpa subsp. lanata,P. didymocarpa subsp. lanata,P. didymocarpa subsp. lanata,P. didymocarpa subsp. lanata
PDIDY_LA_52,P. didymocarpa subsp. lanata,P. didymocarpa subsp. lanata,P. didymocarpa subsp. lanata,P. didymocarpa subsp. lanata
PDIDY_LY_3855,P. didymocarpa subsp. lyrata,P. didymocarpa subsp. lyrata,P. didymocarpa subsp. lyrata,P. didymocarpa subsp. didymocarpa
PDIDY_LY_45,P. didymocarpa subsp. lyrata,P. didymocarpa subsp. lyrata,P. didymocarpa subsp. lyrata,P. didymocarpa subsp. didymocarpa
PDORN_17506,P. dornii,P. dornii,P. dornii,P. dornii
PDORN_42,P. dornii,P. dornii,P. dornii,P. dornii
PDORN_4376,P. dornii,P. dornii,P. dornii,P. dornii
